card_id,source_id,domain,title_ar,title_en,applicability,key_requirement_paraphrase,calculation_hint,citation_ref,source_url,confidence,license_scope,review_status,prepared_by,reviewed_by,last_updated
CARD-SBC501-001,SBC-501-BASE,hvac,Minimum Ventilation for Occupied Zones,Minimum Ventilation for Occupied Zones,Office and similar occupied spaces,Use code guided outdoor air minimum by occupancy and zone purpose,Record people count area and target airflow unit before sizing,SBC 501 Chapter Ventilation Article Minimum Outdoor Air,TBD,0.82,summary_only,draft,IntegraAI,,2026-03-28
CARD-SBC501-002,SBC-501-BASE,hvac,Outdoor Air Intake Placement,Outdoor Air Intake Placement,All buildings with mechanical ventilation,Keep outdoor air intakes away from pollutant discharge and contamination points,Create a site sketch and clearance check list before final intake location,SBC 501 Chapter Air Intake Article Location and Separation,TBD,0.81,summary_only,draft,IntegraAI,,2026-03-28
CARD-SBC501-003,SBC-501-BASE,hvac,Duct Insulation Baseline,Duct Insulation Baseline,Conditioned air distribution systems,Apply insulation according to duct service and ambient condition,Document duct class operating temperature and insulation target,RAG Note SBC 501 Duct Construction and Insulation Sections,TBD,0.80,summary_only,draft,IntegraAI,,2026-03-28
CARD-SBC501-004,SBC-501-BASE,hvac,Duct Leakage Control,Duct Leakage Control,Supply and return duct networks,Require leakage control and quality installation to protect efficiency,Use leakage test plan and acceptance threshold in commissioning sheet,SBC 501 Duct Leakage and Sealing Requirements,TBD,0.79,summary_only,draft,IntegraAI,,2026-03-28
CARD-SBC501-005,SBC-501-BASE,hvac,Equipment Access and Maintenance Clearance,Equipment Access and Maintenance Clearance,Mechanical rooms and rooftop units,Provide service clearance and safe maintenance access for all major equipment,Add maintenance envelope check in model review and shop drawing review,SBC 501 Mechanical Equipment Access Provisions,TBD,0.83,summary_only,draft,IntegraAI,,2026-03-28
CARD-SBC501-006,SBC-501-BASE,hvac,Exhaust Air Discharge Rules,Exhaust Air Discharge Rules,Toilets kitchens and contaminated zones,Discharge exhaust to locations that prevent reentry and nuisance,Validate discharge direction elevation and nearby openings checklist,SBC 501 Exhaust Systems Discharge Criteria,TBD,0.80,summary_only,draft,IntegraAI,,2026-03-28
CARD-SBC501-007,SBC-501-BASE,hvac,Control Zoning Principles,Control Zoning Principles,Multi use buildings with variable occupancy,Use control zoning aligned with thermal usage patterns and occupancy diversity,Map operating schedule and thermal zones before control sequence drafting,SBC 501 HVAC Control and Zoning Guidance,TBD,0.78,summary_only,draft,IntegraAI,,2026-03-28
CARD-SBC501-008,SBC-501-BASE,hvac,Air Balancing Verification,Air Balancing Verification,Commissioning stage for ventilation systems,Perform balancing and verify target airflow at terminals and main branches,Prepare tabulated design airflow versus measured airflow variance report,SBC 501 Testing Adjusting and Balancing Requirements,TBD,0.84,summary_only,draft,IntegraAI,,2026-03-28
CARD-SBC501-009,SBC-501-BASE,hvac,Noise and Vibration Good Practice,Noise and Vibration Good Practice,Equipment near occupied rooms,Apply basic vibration isolation and noise control for user comfort,Add equipment noise class and isolation method in schedule notes,SBC 501 Mechanical Installation General Provisions,TBD,0.77,summary_only,draft,IntegraAI,,2026-03-28
CARD-SBC501-010,SBC-501-BASE,hvac,Smoke Control Interface Basics,Smoke Control Interface Basics,Buildings requiring smoke management interface,Coordinate HVAC shutdown and smoke mode logic with fire strategy,Create sequence matrix normal mode versus fire mode with approvals,SBC 501 Interface with Fire Safety Controls,TBD,0.79,summary_only,draft,IntegraAI,,2026-03-28
CARD-SBC701-001,SBC-701-BASE,plumbing,Drainage Unit Method,Drainage Unit Method,Residential plumbing fixture groups,Use fixture unit method to estimate branch and stack demand,Map fixture type to unit load then aggregate by segment,SBC 701 Drainage Fixture Unit Method Sections,TBD,0.84,summary_only,draft,IntegraAI,,2026-03-28
CARD-SBC701-002,SBC-701-BASE,plumbing,Minimum Slope for Horizontal Drainage,Minimum Slope for Horizontal Drainage,Gravity drainage horizontal lines,Maintain slope by pipe size to ensure self cleansing flow,Include slope schedule in model and site installation checklist,SBC 701 Drainage Piping Slope Requirements,TBD,0.86,summary_only,draft,IntegraAI,,2026-03-28
CARD-SBC701-003,SBC-701-BASE,plumbing,حماية ختم السيفون بالتهوية الصحية,Trap Seal Protection,All trapped fixtures and sanitary branches,Protect trap seal through venting (التهوية الصحية) and avoid pressure imbalance that causes siphon loss,Review trap arm length vent connection logic and anti-siphon arrangement per fixture,SBC 701 Traps and Venting Provisions,TBD,0.83,summary_only,draft,IntegraAI,,2026-03-28
CARD-SBC701-004,SBC-701-BASE,plumbing,تخطيط نقاط التنظيف ومسافات التباعد,Cleanout Access Planning,Drainage networks with long runs and direction changes,Provide cleanouts at required spacing intervals and at major direction changes for maintainability,Generate maintenance access map with cleanout IDs and spacing verification notes,SBC 701 Cleanout Location and Spacing Rules,TBD,0.82,summary_only,draft,IntegraAI,,2026-03-28
CARD-SBC701-005,SBC-701-BASE,plumbing,Water Supply Demand Basis,Water Supply Demand Basis,Domestic cold and hot water design,Estimate demand using fixture based diversity and occupancy context,Document peak factor assumptions and final flow basis,SBC 701 Water Supply Design Demand Provisions,TBD,0.81,summary_only,draft,IntegraAI,,2026-03-28
CARD-SBC701-006,SBC-701-BASE,plumbing,Backflow Prevention Intent,Backflow Prevention Intent,Connections with contamination risk,Apply backflow prevention where contamination can reverse into potable lines,Classify connection risk and select protection category,SBC 701 Cross Connection and Backflow Control,TBD,0.85,summary_only,draft,IntegraAI,,2026-03-28
CARD-SBC701-007,SBC-701-BASE,plumbing,Water Heater Safety Basics,Water Heater Safety Basics,Domestic hot water systems,Provide temperature and pressure safety controls with drain discharge routing,Verify relief path and service access in equipment layout,SBC 701 Water Heater Installation Safety Clauses,TBD,0.80,summary_only,draft,IntegraAI,,2026-03-28
CARD-SBC701-008,SBC-701-BASE,plumbing,سياق اختيار مادة المواسير,Pipe Material Selection Context,Potable and drainage piping systems,Select pipe material based on service temperature pressure and compatibility while checking internal diameter constraints,Create material matrix per system and operating condition,SBC 701 Approved Materials and Use Conditions,TBD,0.79,summary_only,draft,IntegraAI,,2026-03-28
CARD-SBC701-009,SBC-701-BASE,plumbing,Stormwater Tie In Coordination,Stormwater Tie In Coordination,Roofs and site drainage interfaces,Coordinate storm drainage interfaces and avoid illegal sanitary ties,Review drainage path from roof to final disposal point,SBC 701 Storm and Sanitary System Separation,TBD,0.78,summary_only,draft,IntegraAI,,2026-03-28
CARD-SBC701-010,SBC-701-BASE,plumbing,Plumbing Testing and Commissioning,Plumbing Testing and Commissioning,Pre handover project stage,Perform pressure and leakage checks before handover and documentation,Track tested segment medium and hold period with records,SBC 701 Testing and Inspection Requirements,TBD,0.84,summary_only,draft,IntegraAI,,2026-03-28
CARD-SBC701-011,SBC-701-BASE,plumbing,أقطار مواسير الصرف الرئيسية والفرعية,Main and Branch Drain Pipe Diameters,Sanitary and waste drainage design for branches and mains,Size branch and main drain pipe diameters using fixture load and flow path rules with clear branch versus main differentiation,Prepare diameter schedule for branch and stack sections including condition notes and transitions,SBC 701 Drainage Pipe Sizing Tables and Diameter Rules,TBD,0.87,summary_only,draft,IntegraAI,,2026-03-28
CARD-SBC801-001,SBC-801-BASE,fire,Hazard Classification Basics,Hazard Classification Basics,Commercial occupancy assessment,Classify hazard level from use and fuel characteristics before sprinkler layout,Build decision table by occupancy and process type,SBC 801 Fire Hazard Classification Framework,TBD,0.86,summary_only,draft,IntegraAI,,2026-03-28
CARD-SBC801-002,SBC-801-BASE,fire,Sprinkler Density Concept,Sprinkler Density Concept,Automatic sprinkler design basis,Select design density and area using hazard classification and code path,Record selected density basis and remote area assumptions,SBC 801 Sprinkler Hydraulic Design Basis,TBD,0.85,summary_only,draft,IntegraAI,,2026-03-28
CARD-SBC801-003,SBC-801-BASE,fire,Water Supply Reliability Check,Water Supply Reliability Check,Fire suppression water sources,Confirm source capacity pressure and duration meet intended protection level,Use source test data and reserve duration worksheet,SBC 801 Fire Water Supply Requirements,TBD,0.84,summary_only,draft,IntegraAI,,2026-03-28
CARD-SBC801-004,SBC-801-BASE,fire,Standpipe Sizing Intent,Standpipe Sizing Intent,Mid and high rise buildings,Size standpipe and hose connection layout by building characteristics,Calculate required flow path and residual pressure checkpoints,SBC 801 Standpipe and Hose System Provisions,TBD,0.83,summary_only,draft,IntegraAI,,2026-03-28
